prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,origem_tramitacao_local_nome_casa_local,destino_tramitacao_local_nome_casa_local,id_principal
41703,senado,2019-05-13T00:00:00Z,2,"Juntados aos autos do processo o original de manifestação do Ofício 03-54/2019, da Câmara Municipal de Mairinque - SP, e a cópia da carta-resposta encaminhada pelo Secretário-Geral da Mesa, Luiz Fernando Bandeira de Mello. (fls. 54/57)",ATRSGM,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2019-05-13T00:00:00Z,1,Encaminhado por solicitação.,COARQ,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2014-08-01T00:00:00Z,1,"A partir de 1º de agosto de 2014 os boletins de ação legislativa não mais serão impressos, nos termos da Instrução Normativa nº 1, de 2014, do Secretário-Geral da Mesa. As consultas sobre a tramitação da matéria devem ser realizadas diretamente no sistema eletrônico próprio.",COARQ,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2007-02-28T00:00:00Z,1,Processo arquivado,COARQ,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2007-01-09T00:00:00Z,1,"Ao PLEG, com destino ao Arquivo.",SSEXP,142,AGUARDANDO DECISÃO DA CÂMARA DOS DEPUTADOS,,Senado Federal,Senado Federal,41703
41703,senado,2005-12-05T00:00:00Z,1,"Anexado ao processo cópia do Of. PS-GSE nº 235/05 do Sr. Primeiro_Secretário da Câmara dos Deputados, acerca da tramitação da matéria.",SSEXP,52,REMETIDA À CÂMARA DOS DEPUTADOS,,Senado Federal,Senado Federal,41703
41703,senado,2005-05-16T00:00:00Z,1,"Ofício SF nº  285 /2005, ao Primeiro-Secretário da Câmara dos Deputados solicitando informar tramitação da matéria naquela Casa.",SSEXP,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2002-03-12T00:00:00Z,2,"OF. SF nº 127 de 12/03/2002 do Quarto-Secretário do Senado Federal no exercício da Primeira Secretaria ao Primeiro-Secretário da Câmara dos Deputados, encaminhando o presente projeto para revisão, nos termos do art. 65 da Constituição Federal (fls. 43 a 48).",SSEXP,52,REMETIDA À CÂMARA DOS DEPUTADOS,,Senado Federal,Senado Federal,41703
41703,senado,2002-03-12T00:00:00Z,1,Recebido neste órgão devidamente assinado.,SSEXP,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2002-03-08T00:00:00Z,3,"Recebido neste órgão às 17:00 hs.  
      Encaminhados expedientes à  SGM para colher assinaturas.",SSEXP,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2002-03-08T00:00:00Z,2,"Procedida a revisão dos autógrafos de fls. 42.
      À Subsecretaria de Expediente.",SSEXP,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2002-03-08T00:00:00Z,1,"Procedida a revisão dos autógrafos (fls. 42).
      
      À SSEXP.",SSCLSF,NA,NA,,Senado Federal,Senado Federal,41703
41703,senado,2002-03-07T00:00:00Z,5,À SSCLSF para revisão dos autógrafos (fls.  42).,SSEXP,NA,NA,,Senado Federal,Senado Federal,41703
