label,start,end,group,color
requerimento_apensacao,2017-03-13T16:02:00Z,2017-03-13T16:02:00Z,Evento,NA
requerimento_redistribuicao,2017-04-18T15:07:00Z,2017-04-18T15:07:00Z,Evento,NA
requerimento_redistribuicao,2017-05-09T11:55:00Z,2017-05-09T11:55:00Z,Evento,NA
criacao_comissao_temporaria,2017-08-15T00:00:00Z,2017-08-15T00:00:00Z,Evento,NA
requerimento_urgencia,2017-08-15T16:49:00Z,2017-08-15T16:49:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-12T18:00:00Z,2017-09-12T18:00:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-12T18:53:00Z,2017-09-12T18:53:00Z,Evento,NA
aprovacao_audiencia_publica,2017-09-13T14:30:00Z,2017-09-13T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-09-13T14:30:00Z,2017-09-13T14:30:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-13T14:53:00Z,2017-09-13T14:53:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-13T14:53:00Z,2017-09-13T14:53:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-13T15:54:00Z,2017-09-13T15:54:00Z,Evento,NA
requerimento_prorrogacao,2017-09-14T11:29:00Z,2017-09-14T11:29:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-20T10:22:00Z,2017-09-20T10:22:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-26T16:08:00Z,2017-09-26T16:08:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-26T16:08:00Z,2017-09-26T16:08:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-26T16:09:00Z,2017-09-26T16:09:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-26T16:09:00Z,2017-09-26T16:09:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-26T16:09:00Z,2017-09-26T16:09:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-26T16:10:00Z,2017-09-26T16:10:00Z,Evento,NA
requerimento_audiencia_publica,2017-09-27T18:38:00Z,2017-09-27T18:38:00Z,Evento,NA
requerimento_prorrogacao,2017-10-04T10:07:00Z,2017-10-04T10:07:00Z,Evento,NA
requerimento_audiencia_publica,2017-10-23T15:53:00Z,2017-10-23T15:53:00Z,Evento,NA
requerimento_audiencia_publica,2017-10-24T15:43:00Z,2017-10-24T15:43:00Z,Evento,NA
requerimento_audiencia_publica,2017-10-25T16:38:00Z,2017-10-25T16:38:00Z,Evento,NA
requerimento_prorrogacao,2017-10-31T13:55:00Z,2017-10-31T13:55:00Z,Evento,NA
requerimento_audiencia_publica,2017-11-06T16:17:00Z,2017-11-06T16:17:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,Evento,NA
requerimento_prorrogacao,2017-11-29T14:08:00Z,2017-11-29T14:08:00Z,Evento,NA
requerimento_prorrogacao,2017-12-13T15:33:00Z,2017-12-13T15:33:00Z,Evento,NA
requerimento_prorrogacao,2018-02-27T11:38:00Z,2018-02-27T11:38:00Z,Evento,NA
requerimento_prorrogacao,2018-03-20T09:55:00Z,2018-03-20T09:55:00Z,Evento,NA
requerimento_prorrogacao,2018-04-11T09:04:00Z,2018-04-11T09:04:00Z,Evento,NA
requerimento_prorrogacao,2018-05-04T15:48:00Z,2018-05-04T15:48:00Z,Evento,NA
requerimento_prorrogacao,2018-05-29T09:14:00Z,2018-05-29T09:14:00Z,Evento,NA
iniciativa,2016-03-16T14:03:00Z,2017-09-12T00:00:00Z,Fase,#7fc97f
relatoria,2017-09-12T00:00:00Z,2017-09-12T18:00:00Z,Fase,#fdc086
discussao_deliberacao,2017-09-12T18:00:00Z,2018-06-07T00:00:00Z,Fase,#beaed4
PLEN,2016-03-16T14:03:00Z,2016-12-14T00:00:00Z,Local,NA
MESA,2016-12-14T00:00:00Z,2016-12-14T22:16:00Z,Local,NA
SEPRO,2016-12-14T22:16:00Z,2016-12-14T22:19:00Z,Local,NA
CEDI,2016-12-14T22:19:00Z,2016-12-15T00:00:00Z,Local,NA
CCP,2016-12-15T00:00:00Z,2016-12-15T08:33:00Z,Local,NA
SEPRO,2016-12-15T08:33:00Z,2016-12-15T09:37:00Z,Local,NA
SECAP(SGM),2016-12-15T09:37:00Z,2016-12-15T10:39:00Z,Local,NA
MESA,2016-12-15T10:39:00Z,2016-12-15T10:40:00Z,Local,NA
SECAP(SGM),2016-12-15T10:40:00Z,2016-12-15T10:46:00Z,Local,NA
CCP,2016-12-15T10:46:00Z,2016-12-15T15:33:00Z,Local,NA
CTASP,2016-12-15T15:33:00Z,2017-03-13T16:02:00Z,Local,NA
PLEN,2017-03-13T16:02:00Z,2017-03-16T00:00:00Z,Local,NA
