label,start,end,group,color
Apresentação - Revisão (Câmara),2016-06-21T00:00:00Z,2016-06-28T09:52:00Z,Global,NA
CFT - Revisão (Câmara),2016-06-28T09:52:00Z,2018-08-13T14:46:30Z,Global,NA
recebimento,2016-06-28T09:52:00Z,2016-07-06T00:00:00Z,Situação na comissão,NA
analise_do_relator,2016-07-06T00:00:00Z,2016-11-17T18:03:00Z,Situação na comissão,NA
encaminhamento,2016-11-17T18:03:00Z,2016-11-18T10:42:00Z,Situação na comissão,NA
recebimento,2016-11-18T10:42:00Z,2018-08-13T14:46:30Z,Situação na comissão,NA
apresentacao_da_pl,2016-06-21T16:37:00Z,2016-06-21T16:37:00Z,Evento,#a9a9a9
distribuicao,2016-06-23T11:42:00Z,2016-06-23T11:42:00Z,Evento,#a9a9a9
designado_relator,2016-07-06T00:00:00Z,2016-07-06T00:00:00Z,Evento,#a9a9a9
redistribuicao,2016-11-17T00:00:00Z,2016-11-17T00:00:00Z,Evento,#a9a9a9
comissao_especial,2016-11-17T00:00:00Z,2016-11-17T00:00:00Z,Evento,#a9a9a9
distribuicao,2017-06-07T00:00:00Z,2017-06-07T00:00:00Z,Evento,#a9a9a9
