label,start,end,group,color
Apresentação - Revisão (Câmara),2017-02-03T00:00:00Z,2018-02-27T00:00:00Z,Global,NA
Comissão Especial - Revisão (Câmara),2018-02-27T00:00:00Z,2018-08-15T12:20:44Z,Global,#ff9c37
apresentacao_da_pl,2017-02-03T15:31:00Z,2017-02-03T15:31:00Z,Evento,#a9a9a9
distribuicao,2017-02-09T00:00:00Z,2017-02-09T00:00:00Z,Evento,#a9a9a9
requerimento_apensacao,2017-12-07T13:42:00Z,2017-12-07T13:42:00Z,Evento,#a9a9a9
comissao_especial,2018-02-27T00:00:00Z,2018-02-27T00:00:00Z,Evento,#a9a9a9
requerimento_apensacao,2018-02-28T22:11:00Z,2018-02-28T22:11:00Z,Evento,#a9a9a9
designado_relator,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2018-03-08T16:09:00Z,2018-03-08T16:09:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2018-03-09T10:18:00Z,2018-03-09T10:18:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2018-03-12T18:31:00Z,2018-03-12T18:31:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2018-03-13T14:18:00Z,2018-03-13T14:18:00Z,Evento,#a9a9a9
aprovacao_audiencia_publica,2018-03-13T14:30:00Z,2018-03-13T14:30:00Z,Evento,#a9a9a9
requerimento_apensacao,2018-03-13T16:10:00Z,2018-03-13T16:10:00Z,Evento,#a9a9a9
requerimento_prorrogacao,2018-03-14T10:46:00Z,2018-03-14T10:46:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2018-03-14T14:56:00Z,2018-03-14T14:56:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2018-03-15T15:03:00Z,2018-03-15T15:03:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2018-03-15T16:51:00Z,2018-03-15T16:51:00Z,Evento,#a9a9a9
redistribuicao,2018-03-16T00:00:00Z,2018-03-16T00:00:00Z,Evento,#a9a9a9
aprovacao_audiencia_publica,2018-03-20T14:30:00Z,2018-03-20T14:30:00Z,Evento,#a9a9a9
comissao_especial,2018-03-23T10:43:00Z,2018-03-23T10:43:00Z,Evento,#a9a9a9
