label,start,end,group,color
Apresentação - Origem (Câmara),2004-06-08T00:00:00Z,2004-06-22T14:57:00Z,Global,NA
CMADS - Origem (Câmara),2004-06-22T14:57:00Z,2014-02-10T15:23:00Z,Global,NA
CAPADR - Origem (Câmara),2014-02-10T15:23:00Z,2014-05-16T10:16:00Z,Global,NA
CMADS - Origem (Câmara),2014-05-16T10:16:00Z,2015-10-20T14:44:00Z,Global,NA
CFT - Origem (Câmara),2015-10-20T14:44:00Z,2016-05-09T16:04:00Z,Global,NA
CCJC - Origem (Câmara),2016-05-09T16:04:00Z,2018-09-11T18:22:06Z,Global,NA
Comissões - Revisão (Senado),2019-03-30T00:00:00Z,2019-03-31T00:00:00Z,Global,NA
apresentacao_da_pl,2004-06-08T00:00:00Z,2004-06-08T00:00:00Z,Evento,#a9a9a9
distribuicao,2004-06-18T16:08:00Z,2004-06-18T16:08:00Z,Evento,#a9a9a9
designado_relator,2004-07-07T00:00:00Z,2004-07-07T00:00:00Z,Evento,#a9a9a9
arquivada,2007-01-31T00:00:00Z,2007-01-31T00:00:00Z,Evento,#a9a9a9
desarquivada,2007-04-25T00:00:00Z,2007-04-25T00:00:00Z,Evento,#a9a9a9
designado_relator,2007-05-31T00:00:00Z,2007-05-31T00:00:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2009-01-30T15:18:00Z,2009-01-30T15:18:00Z,Evento,#a9a9a9
designado_relator,2009-03-19T00:00:00Z,2009-03-19T00:00:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2009-12-16T17:13:00Z,2009-12-16T17:13:00Z,Evento,#a9a9a9
arquivada,2011-01-31T00:00:00Z,2011-01-31T00:00:00Z,Evento,#a9a9a9
desarquivada,2011-02-14T16:12:00Z,2011-02-14T16:12:00Z,Evento,#a9a9a9
designado_relator,2011-03-28T00:00:00Z,2011-03-28T00:00:00Z,Evento,#a9a9a9
projeto_reconstituido,2012-04-09T00:00:00Z,2012-04-09T00:00:00Z,Evento,#a9a9a9
requerimento_apensacao,2012-06-14T15:15:00Z,2012-06-14T15:15:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2013-10-23T09:34:00Z,2013-10-23T09:34:00Z,Evento,#a9a9a9
requerimento_redistribuicao,2013-11-28T15:14:00Z,2013-11-28T15:14:00Z,Evento,#a9a9a9
designado_relator,2013-12-04T00:00:00Z,2013-12-04T00:00:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2013-12-06T12:36:00Z,2013-12-06T12:36:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2013-12-17T15:06:00Z,2013-12-17T15:06:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2013-12-17T15:08:00Z,2013-12-17T15:08:00Z,Evento,#a9a9a9
redistribuicao,2013-12-20T00:00:00Z,2013-12-20T00:00:00Z,Evento,#a9a9a9
designado_relator,2014-03-12T00:00:00Z,2014-03-12T00:00:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2014-04-29T18:22:00Z,2014-04-29T18:22:00Z,Evento,#a9a9a9
aprovacao_parecer,2014-05-14T10:00:00Z,2014-05-14T10:00:00Z,Evento,#a9a9a9
designado_relator,2014-05-22T00:00:00Z,2014-05-22T00:00:00Z,Evento,#a9a9a9
arquivada,2015-01-31T00:00:00Z,2015-01-31T00:00:00Z,Evento,#a9a9a9
desarquivada,2015-02-04T09:06:00Z,2015-02-04T09:06:00Z,Evento,#a9a9a9
desarquivada,2015-02-04T09:08:00Z,2015-02-04T09:08:00Z,Evento,#a9a9a9
designado_relator,2015-04-09T00:00:00Z,2015-04-09T00:00:00Z,Evento,#a9a9a9
requerimento_apensacao,2015-05-19T15:58:00Z,2015-05-19T15:58:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2015-09-23T00:00:00Z,2015-09-23T00:00:00Z,Evento,#a9a9a9
pedido_de_vista,2015-10-07T10:00:00Z,2015-10-07T10:00:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2015-10-14T18:33:00Z,2015-10-14T18:33:00Z,Evento,#a9a9a9
designado_relator,2015-10-28T00:00:00Z,2015-10-28T00:00:00Z,Evento,#a9a9a9
designado_relator,2015-12-17T00:00:00Z,2015-12-17T00:00:00Z,Evento,#a9a9a9
alteracao_de_regime,2016-03-22T00:00:00Z,2016-03-22T00:00:00Z,Evento,#a9a9a9
designado_relator,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z,Evento,#a9a9a9
designado_relator,2016-06-30T00:00:00Z,2016-06-30T00:00:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2016-07-27T13:21:00Z,2016-07-27T13:21:00Z,Evento,#a9a9a9
requerimento_redistribuicao,2016-08-09T17:36:00Z,2016-08-09T17:36:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2016-09-01T10:57:00Z,2016-09-01T10:57:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2016-09-15T17:49:00Z,2016-09-15T17:49:00Z,Evento,#a9a9a9
retirada_de_pauta,2016-10-11T10:00:00Z,2016-10-11T10:00:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2016-12-12T11:12:00Z,2016-12-12T11:12:00Z,Evento,#a9a9a9
requerimento_urgencia,2017-04-04T18:10:00Z,2017-04-04T18:10:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2017-04-19T14:51:00Z,2017-04-19T14:51:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2017-04-27T15:20:00Z,2017-04-27T15:20:00Z,Evento,#a9a9a9
retirada_de_pauta,2017-05-03T10:00:00Z,2017-05-03T10:00:00Z,Evento,#a9a9a9
retirada_de_pauta,2017-05-10T10:00:00Z,2017-05-10T10:00:00Z,Evento,#a9a9a9
retirada_de_pauta,2017-05-17T10:00:00Z,2017-05-17T10:00:00Z,Evento,#a9a9a9
requerimento_apensacao,2017-05-31T18:13:00Z,2017-05-31T18:13:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2017-06-05T13:08:00Z,2017-06-05T13:08:00Z,Evento,#a9a9a9
retirada_de_pauta,2017-06-07T10:00:00Z,2017-06-07T10:00:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2017-08-08T19:40:00Z,2017-08-08T19:40:00Z,Evento,#a9a9a9
requerimento_apensacao,2017-08-09T11:11:00Z,2017-08-09T11:11:00Z,Evento,#a9a9a9
requerimento_apensacao,2017-08-22T15:57:00Z,2017-08-22T15:57:00Z,Evento,#a9a9a9
requerimento_audiencia_publica,2017-08-23T09:47:00Z,2017-08-23T09:47:00Z,Evento,#a9a9a9
retirada_de_pauta,2017-08-23T10:00:00Z,2017-08-23T10:00:00Z,Evento,#a9a9a9
parecer_pela_adequacao_financeira_e_orcamentaria,2017-08-29T11:38:00Z,2017-08-29T11:38:00Z,Evento,#a9a9a9
retirada_de_pauta,2017-09-13T10:00:00Z,2017-09-13T10:00:00Z,Evento,#a9a9a9
designado_relator,2018-04-11T00:00:00Z,2018-04-11T00:00:00Z,Evento,#a9a9a9
