prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao
2056568,camara,2015-11-25T13:36:00Z,1,"Apresentação do Projeto de Lei n. 3751/2015, pelo Deputado Toninho Pinheiro (PP-MG), que: ""Dispõe sobre a desapropriação e indenização de propriedades privadas em unidades de conservação de domínio público"".",PLEN,100,NA
2056568,camara,2015-11-25T17:00:00Z,2,Recebimento pela SEPRO.,SEPRO,500,NA
2056568,camara,2015-11-25T17:00:00Z,3,Encaminhado  à CEDI (Legislação Citada),CEDI,1004,NA
2056568,camara,2015-11-25T20:13:00Z,4,Encaminhado à(ao) SECAP(SGM) através da guia de Remessa (GR/SEPRO) nº 1968/2015.,SEPRO,180,NA
2056568,camara,2015-11-26T10:11:00Z,5,Recebimento pela SECAP(SGM).,SECAP(SGM),500,NA
2056568,camara,2015-12-03T00:00:00Z,6,Despacho a Confirmar.,MESA,110,NA
2056568,camara,2015-12-04T13:02:00Z,9,"Às Comissões de Meio Ambiente e Desenvolvimento Sustentável; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária",MESA,110,NA
2056568,camara,2015-12-04T13:02:00Z,7,Despacho Chancelado,SECAP(SGM),180,NA
2056568,camara,2015-12-04T13:02:00Z,8,Notificação à Sinopse de Despacho Chancelado,SECAP(SGM),1005,NA
2056568,camara,2015-12-04T13:02:00Z,10,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,NA
2056568,camara,2015-12-04T13:20:00Z,11,Encaminhado à(ao) CCP através da guia de Remessa (GR/SECAP(SGM)) nº 419/2015.,SECAP(SGM),180,NA
2056568,camara,2015-12-07T11:00:00Z,12,Recebimento pela CCP.,CCP,500,NA
2056568,camara,2015-12-08T00:00:00Z,14,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 09/12/15 PÁG 243 COL 01.,CCP,604,NA
2056568,camara,2015-12-08T11:23:00Z,13,Encaminhado à(ao) CMADS através da guia de Remessa (GR/CCP) nº 4732/2015.,CCP,180,NA
2056568,camara,2015-12-08T17:27:00Z,15,Recebimento pela CMADS.,CMADS,500,NA
2056568,camara,2015-12-16T00:00:00Z,16,"Designado Relator, Dep. Roberto Balestra (PP-GO)",CMADS,320,NA
2056568,camara,2015-12-17T00:00:00Z,17,Prazo para Emendas ao Projeto (5 sessões a partir de 18/12/2015),CMADS,350,NA
2056568,camara,2016-02-18T00:00:00Z,18,Encerrado o prazo para emendas ao projeto. Não foram apresentadas emendas.,CMADS,600,NA
2056568,camara,2016-05-25T10:23:00Z,19,"Apresentação do Parecer do Relator n. 1 CMADS, pelo Deputado Roberto Balestra (PP-GO).",CMADS,501,NA
2056568,camara,2016-05-25T10:23:00Z,20,"Parecer do Relator, Dep. Roberto Balestra (PP-GO), pela aprovação.",CMADS,322,NA
2056568,camara,2016-06-08T10:00:00Z,21,Discutiram a Matéria: Dep. Roberto Balestra (PP-GO) e Dep. Toninho Pinheiro (PP-MG).,CMADS,242,NA
2056568,camara,2016-06-08T10:00:00Z,22,Vista ao Deputado Nilto Tatto.,CMADS,420,NA
2056568,camara,2016-06-14T00:00:00Z,23,Prazo de Vista Encerrado,CMADS,600,NA
2056568,camara,2016-06-15T10:00:00Z,25,Aprovado Requerimento de Retirada de pauta do Deputado Ricardo Tripoli.,CMADS,250,NA
2056568,camara,2016-06-15T10:20:00Z,24,"Apresentação do Voto em Separado n. 1 CMADS, pelo Deputado Nilto Tatto (PT-SP).",CMADS,431,NA
2056568,camara,2016-07-06T10:00:00Z,26,"Retirado de pauta de ofício, devido ausência do Relator.",CMADS,250,NA
2056568,camara,2016-08-03T00:00:00Z,27,"Devolvido ao Relator, Dep. Roberto Balestra (PP-GO), para alterar parecer.",CMADS,170,NA
2056568,camara,2016-09-22T14:40:00Z,28,"Apresentação do Parecer do Relator, PRL 2 CMADS, pelo Dep. Roberto Balestra",CMADS,501,NA
