data_ordem_do_dia,descricao_tipo_apreciacao,descricao_resultado,sessao_plenaria_codigo_sessao,sessao_plenaria_sigla_casa_sessao,sessao_plenaria_nome_casa_sessao,sessao_plenaria_codigo_sessao_legislativa,sessao_plenaria_sigla_tipo_sessao,sessao_plenaria_numero_sessao,sessao_plenaria_data_sessao,sessao_plenaria_hora_inicio_sessao
2014-06-05,-,Não houve deliberação.,21863,SF,Senado Federal,849,DOR,89  ,2014-06-05,09:00:00
2014-11-19,-,Não houve deliberação.,21961,SF,Senado Federal,849,DOR,170 ,2014-11-19,14:00:00
2014-11-05,-,Não houve deliberação.,21948,SF,Senado Federal,849,DOR,158 ,2014-11-05,14:00:00
2014-11-11,-,Não houve deliberação.,21953,SF,Senado Federal,849,DOR,163 ,2014-11-11,14:00:00
2014-11-27,-,Não houve deliberação.,21972,SF,Senado Federal,849,DOR,176 ,2014-11-27,14:00:00
2014-12-09,-,Não houve deliberação.,21980,SF,Senado Federal,849,DOR,182 ,2014-12-09,14:00:00
2014-07-16,-,Não houve deliberação.,21881,SF,Senado Federal,849,DOR,103 ,2014-07-16,14:00:00
2014-08-06,-,NA,21899,SF,Senado Federal,849,DOR,115 ,2014-08-06,10:00:00
2014-10-28,-,Não houve deliberação.,21938,SF,Senado Federal,849,DOR,151 ,2014-10-28,14:00:00
2014-11-18,-,Não houve deliberação.,21959,SF,Senado Federal,849,DOR,169 ,2014-11-18,14:00:00
2014-12-02,-,NA,21976,SF,Senado Federal,849,DOR,179 ,2014-12-02,14:00:00
2014-08-05,-,Não houve deliberação.,21898,SF,Senado Federal,849,DOR,114 ,2014-08-05,14:00:00
2014-11-06,-,Não houve deliberação.,21949,SF,Senado Federal,849,DOR,159 ,2014-11-06,14:00:00
2014-11-20,-,Não houve deliberação.,21965,SF,Senado Federal,849,DOR,172 ,2014-11-20,14:00:00
2014-11-26,-,Não houve deliberação.,21969,SF,Senado Federal,849,DOR,175 ,2014-11-26,14:00:00
2014-11-12,-,Não houve deliberação.,21955,SF,Senado Federal,849,DOR,164 ,2014-11-12,14:00:00
2014-12-10,-,Não houve deliberação.,21983,SF,Senado Federal,849,DOR,183 ,2014-12-10,14:00:00
2014-12-11,-,Não houve deliberação.,21984,SF,Senado Federal,849,DOR,184 ,2014-12-11,14:00:00
2014-07-15,-,Não houve deliberação.,21878,SF,Senado Federal,849,DOR,102 ,2014-07-15,14:00:00
2014-11-04,-,Não houve deliberação.,21946,SF,Senado Federal,849,DOR,157 ,2014-11-04,14:00:00
2014-10-29,-,Não houve deliberação.,21939,SF,Senado Federal,849,DOR,152 ,2014-10-29,14:00:00
2014-09-02,-,Não houve deliberação.,21913,SF,Senado Federal,849,DOR,128 ,2014-09-02,14:00:00
2016-12-01,-,Não houve deliberação.,22774,SF,Senado Federal,853,DEX,187 ,2016-12-01,14:30:00
2014-11-13,-,Não houve deliberação.,21956,SF,Senado Federal,849,DOR,165 ,2014-11-13,14:00:00
2016-12-08,"Discussão, em turno suplementar",Não houve deliberação.,22791,SF,Senado Federal,853,DEX,192 ,2016-12-08,16:35:00
2016-12-08,"Discussão, em turno suplementar",Não houve deliberação.,22786,SF,Senado Federal,853,DOR,191 ,2016-12-08,14:00:00
2016-12-08,-,"Aprovada a Emenda nº 99 (Substitutivo), prejudicados o projeto e as emendas.
      
      A matéria vai à Comissão Diretora, para o turno suplementar.",22785,SF,Senado Federal,853,DEX,190 ,2016-12-08,10:30:00
2016-12-13,"Discussão, em turno suplementar",Não houve deliberação.,22796,SF,Senado Federal,853,DEX,195 ,2016-12-13,10:00:00
2016-12-13,"Discussão, em turno suplementar","Aprovado o Substitutivo, com as emendas 102, 105, 114, 118, 120, 128, 132, 141, 143, 153, 156, 157, 158, 159, 160, 161, 162.
      A matéria vai à Câmara.",22797,SF,Senado Federal,853,DOR,196 ,2016-12-13,14:00:00
