indicador_votacao_secreta,descricao_votacao,descricao_resultado,codigo_sessao,sigla_casa_sessao,nome_casa_sessao,codigo_sessao_legislativa,sigla_tipo_sessao,numero_sessao,data_sessao,hora_inicio_sessao,codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,data_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,descricao_voto,codigo_parlamentar,nome_parlamentar,nome_completo_parlamentar,sexo_parlamentar,forma_tratamento,url_foto_parlamentar,url_pagina_parlamentar,email_parlamentar,sigla_partido_parlamentar,uf_parlamentar,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Presidente (art. 51 RISF),70,Renan Calheiros,José Renan Vasconcelos Calheiros,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70,renan.calheiros@senador.leg.br,MDB,AL,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Abstenção,72,Roberto Requião,Roberto Requião de Mello e Silva,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador72.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/72,roberto.requiao@senador.leg.br,MDB,PR,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,73,Romero Jucá,Romero Jucá Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador73.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/73,romero.juca@senador.leg.br,MDB,RR,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,40,José Agripino,José Agripino Maia,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador40.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/40,jose.agripino@senador.leg.br,DEM,RN,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,950,João Alberto Souza,João Alberto de Souza,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador950.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/950,joao.alberto.souza@senador.leg.br,MDB,MA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,4981,Acir Gurgacz,Acir Marcos Gurgacz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981,acir@senador.leg.br,PDT,RO,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,5144,Zeze Perrella,José Perrella de Oliveira Costa,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5144.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5144,zeze.perrella@senador.leg.br,PTB,MG,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,4767,Eduardo Lopes,Eduardo Benedito Lopes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4767.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4767,eduardo.lopes@senador.leg.br,PRB,RJ,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,5112,José Medeiros,José Antônio Medeiros,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5112.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5112,josemedeiros@senador.leg.br,PSD,MT,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
Não,"Votação nominal, em primeiro turno, do Substitutivo ao PLS 229/2009.",Não Informado,22566,SF,Senado Federal,853,DOR,89,2016-06-07,14:00:00,2344908,1,2016-06-07,2,"Aprovado o Substitutivo - Emenda nº 3-CAE, com novas emendas apresentadas no turno suplementar.
      À Câmara dos Deputados.
      *** DETALHAMENTO DA AÇÃO LEGISLATIVA ***
      Discussão encerrada.
      Aprovada a Emenda nº 3-CAE – Substitutivo, com o seguinte resultado: Sim 64, Abst. 2, Presidente 1, Total 67.
      Ficam prejudicados o projeto e as Emendas nºs 1 e 2-CCJ.
      Encaminhado à publicação o Parecer nº 534, de 2016-CDIR, apresentando a redação do vencido para o turno suplementar.
      Encaminhadas à publicação as Emendas nºs 4, 5, 6, 7, 8 e 9-PLEN, todas de autoria do Senador Aloysio Nunes Ferreira.
      Proferido pelo Senado Ricardo Ferraço o Parecer nº 535, de 2016-PLEN, favorável às Emendas nº 4 a 9-PLEN.
      Discussão encerrada, em turno suplementar.
      Aprovados, em globo, em turno suplementar, o Substitutivo (Emenda nº 3-PLEN) e as Emendas nº 4 a 9-PLEN, com o seguinte resultado: Sim 52, Abst. 2, Presidente 1, Total 55.
      Aprovada a redação final da matéria. (Parecer nº 536, de 2016-CDIR – Publicada em Suplemento ao DSF nº 80, de 08/06/2016)
      À Câmara dos Deputados.",S,2016-06-16,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,440,A,SF,Senado Federal,SEXPE,Secretaria de Expediente,113,APRVSUB,APROVADO O SUBSTITUTIVO,Sim,5182,Regina Sousa,Maria Regina Sousa,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5182.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5182,reginasousa@senadora.leg.br,PT,PI,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não
