codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,textos_texto_codigo_texto,textos_texto_descricao_tipo_texto,textos_texto_tipo_documento,textos_texto_formato_texto,textos_texto_data_texto,textos_texto_url_texto,textos_texto_identificacao_comissao_codigo_comissao,textos_texto_identificacao_comissao_sigla_comissao,textos_texto_identificacao_comissao_nome_comissao,textos_texto_identificacao_comissao_sigla_casa_comissao,textos_texto_identificacao_comissao_nome_casa_comissao,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando,fase,casa,evento,local,global
620468,1,1999-11-18,1,"Ao Senhor Senador Antero Paes de Barros, para relatar a presente matéria, que tramita em conjunto com o PLS 538/99.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,91,RELATOR,matéria_com_a_relatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,NA,CAS, - Origem (Senado)
638719,1,2000-04-18,1,"Devolvido pelo Relator Senador Antero Paes de Barros, com minuta de Parecer concluindo pela rejeição do Projeto, e pela aprovação na forma do Substitutivo que apresenta ao PLS n° 538/99, que tamita em conjunto. (fls. 6 a 11)",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,42,PRONTPAUT,pronta_para_a_pauta_na_comissão,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
641599,1,2000-05-10,1,"Reunida a Comissão, a matéria é retirada de pauta a pedido do relator Senador Antero Paes de Barros, para reexame.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,91,RELATOR,matéria_com_a_relatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,NA,CAS, - Origem (Senado)
651110,1,2000-08-02,1,"Devolvido pelo Relator Senador Antero Paes de Barros, com minuta de Parecer concluindo pela aprovação do Projeto, nos termos do Substitutivo que apresenta, e pela prejudicialidade do PLS 538/99 que tramita conjuntamente.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,42,PRONTPAUT,pronta_para_a_pauta_na_comissão,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
652343,1,2000-08-10,1,"Ao Senhor Senador Antero Paes de Barros, para reexame da matéria.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,91,RELATOR,matéria_com_a_relatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,NA,CAS, - Origem (Senado)
674832,1,2001-02-15,1,"Anexei, fls. 12 a 16, Minuta de Parecer, conforme BAL n° 0018.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,87,AGDREL,aguardando_designação_do_relator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,NA,CAS, - Origem (Senado)
674835,1,2001-02-15,2,"Anexei, fls. 17 a 18, Nota Técnica n° 858/2000, solicitada pelo Senador Antero Paes de Barros.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,87,AGDREL,aguardando_designação_do_relator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,NA,CAS, - Origem (Senado)
674836,1,2001-02-15,3,"Devolvido pelo Senador Antero Paes de Barros, para redistribuição.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,87,AGDREL,aguardando_designação_do_relator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,devolvido,CAS, - Origem (Senado)
681709,1,2001-04-17,1,"Ao Senhor Senador Jonas Pinheiro para relatar a presente matéria, que tramita em conjunto com o PLS 538/99.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,91,RELATOR,matéria_com_a_relatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,NA,CAS, - Origem (Senado)
685073,1,2001-05-08,1,"Devolvido pelo Relator Senador Jonas Pinheiro, com minuta de Parecer concluindo pela aprovação do Projeto, nos termos do substitutivo que apresenta,  e pela prejudicialidade do PLS 538/99, que tramita conjuntamente.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,42,PRONTPAUT,pronta_para_a_pauta_na_comissão,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
693036,1,2001-06-20,1,"A Comissão reunida na data de hoje, aprova o Projeto, nos termos da Emenda n° 1 - CAS (Substitutivo) a matéria vai a Turno Suplementar, arts. 92 e 282 RISF. ( fls. 17 a 24)",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,89,APRVPAR,aprovado_parecer_na_comissão,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Encaminhamento,Comissões,aprovacao_parecer,CAS, - Origem (Senado)
699487,1,2001-08-15,1,"Reunida a Comissão, a Senadora Marina Silva apresenta emenda ao Substitutivo (fls. 25),aprovado em 20.06.01. A matéria retorna ao Relator Senador Jonas Pinheiro, para se pronunciar sobre a mesma.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,91,RELATOR,matéria_com_a_relatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Análise do relator,Comissões,NA,CAS, - Origem (Senado)
713841,1,2001-11-05,1,"Devolvido pelo Relator Senador Jonas Pinheiro, com minuta de Parecer acatando parcialmente a emenda da Sen. Marina Silva, na forma de subemenda.",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,42,PRONTPAUT,pronta_para_a_pauta_na_comissão,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
