Proposição,Sim,Não,Total
SUG 30/2017,"1,888,119","10,026","1,898,145"
PEC 106/2015,"1,859,115","10,699","1,869,814"
PDS 175/2017,"731,679","95,022","1,681,899"
SUG 2/2018,"521,017","388,888","909,905"
SUG 15/2014,"423,403","381,116","804,519"
SUG 24/2018,"322,965","250,424","573,389"
PDS 106/2013,"28,964","430,121","459,085"
SUG 11/2017,"223,094","221,432","444,526"
PLS 515/2017,"424,031","7,467","431,498"
PLS 193/2016,"199,873","210,819","410,692"
SUG 2/2015,"168,497","212,031","380,528"
PEC 55/2016,"23,766","345,655","369,421"
SUG 24/2017,"176,711","175,373","352,084"
PLC 28/2017,"44,857","262,113","30,697"
PLS 280/2016,"4,671","277,463","282,134"
PLS 445/2012,"272,112","7,642","279,754"
PEC 20/2016,"202,996","16,581","219,577"
PLS 116/2017,"44,341","151,183","195,524"
PLS 350/2014,"7,682","114,696","191,516"
PLC 38/2017,"16,789","172,166","188,955"
SUG 9/2018,"92,597","74,766","167,363"
SUG 20/2018,"14,162","1,956","16,118"
SUG 15/2017,"156,189",552,"156,741"
SUG 5/2016,"137,927","16,403","15,433"
SUG 25/2017,"126,387","13,891","140,278"
PLS 514/2017,"120,613","3,967","12,458"
PLS 378/2017,"10,675","16,742","123,492"
PLS 439/2015,"60,443","5,818","118,623"
PEC 51/2017,"112,575",775,"11,335"
MPV 657/2014,"4,235","103,081","107,316"
PLS 495/2017,106,"102,462","103,522"
PL 1615/2019,"101,345",955,"1,023"
SUG 66/2017,"84,711","17,085","101,796"
SUG 4/2017,"90,013","5,596","95,609"
SUG 34/2018,"89,145",329,"92,435"
SUG 17/2017,"52,858","38,477","91,335"
SUG 7/2017,"41,269","40,185","81,454"
PLS 134/2018,"33,731","45,245","78,976"
MPV 746/2016,"4,551","73,554","78,105"
PEC 50/2016,"13,789","63,391","7,718"
PEC 29/2015,"26,634","50,048","76,682"
PLC 24/2016,"17,479","51,486","68,965"
PLS 385/2016,"67,083","1,517",686
SUG 8/2014,"63,266",394,"67,206"
