dataHora,descricaoSituacao,descricaoTramitacao,despacho,idSituacao,idTipoTramitacao,regime,sequencia,siglaOrgao,uriOrgao,url
1999-04-20T00:00,,Apresentação de Proposição,"Apresentação do PL 688/1999, pelo Dep. Freire Júnior, que ""dispõe sobre o Contrato de Trabalho da Terceira Idade.""",,100,"Ordinária (Art. 151, III, RICD)",1,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=26411
1999-05-26T00:00,,Despacho* (inativa),"DESPACHO INICIAL À CSSF, CTASP, CFT (ARTIGO 54 DO RI) E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.",,999,"Ordinária (Art. 151, III, RICD)",2,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,
1999-05-26T00:00,,Leitura e publicação,"LEITURA E PUBLICAÇÃO DA MATERIA.
DCD 25 05 99 PAG 23406 COL 01.",,105,"Ordinária (Art. 151, III, RICD)",3,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=260311
1999-05-28T00:00,,Apensação,Apense-se a este o PL 725/99.(DESPACHO INICIAL),,106,"Ordinária (Art. 151, III, RICD)",4,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
1999-05-31T00:00,,Encaminhamento,ENCAMINHADO A COMISSÃO DE SEGURIDADE SOCIAL E FAMILIA.,,180,"Ordinária (Art. 151, III, RICD)",5,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,
1999-06-14T00:00,,Designação de Relator,RELATOR DEP PASTOR AMARILDO.,,320,"Ordinária (Art. 151, III, RICD)",6,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
1999-06-17T00:00,,Abertura de Prazo,PRAZO PARA APRESENTAÇÃO DE EMENDAS: 05 SESSÕES.,,350,"Ordinária (Art. 151, III, RICD)",7,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
1999-06-24T00:00,,Apensação,Apense-se a este o PL 913/99.(DESPACHO INICIAL),,106,"Ordinária (Art. 151, III, RICD)",9,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
1999-06-24T00:00,,Encerramento de Prazo,NÃO FORAM APRESENTADAS EMENDAS.,,600,"Ordinária (Art. 151, III, RICD)",8,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
1999-09-10T00:00,,Parecer do Relator,"PARECER FAVORAVEL DO RELATOR, DEP PASTOR AMARILDO, A ESTE E CONTRARIO AOS PL. 725/99 E PL. 913/99, APENSADOS.",,322,"Ordinária (Art. 151, III, RICD)",10,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
