codigo,sigla,descricao
87,AGDREL,AGUARDANDO DESIGNAÇÃO DO RELATOR
11,AGINF,AGUARDANDO INFORMAÇÕES
12,AGINR,AGUARDANDO INTERPOSIÇÃO DE RECURSO
14,AGLPAR,AGUARDANDO LEITURA PARECER (ES)
167,AGPPDL,AGUARDANDO PRAZO PARA ELABORAÇÃO DO PDL NA COMISSÃO MISTA
168,AGPPDLP,AGUARDANDO PRAZO PARA ELABORAÇÃO DO PDL POR PARLAMENTAR
20,AGREMD,AGUARDANDO RECEBIMENTO DE EMENDAS
166,AMPVPREF,APROVADA A MEDIDA PROVISÓRIA - PREFERÊNCIA SOBRE PLV
156,AORFI,ATENDIMENDO DA ADEQUAÇÃO ORÇAMENTÁRIA E FINANCEIRA
158,APAM,APROVADO O PARECER NA COMISSÃO - PELA APROVAÇÃO DA MEDIDA
159,APAPM,APROVADO O PARECER NA COMISSÃO - APROVAÇÃO PARCIAL DA MEDIDA
154,APCONST,ATENDIMENTO DOS PRESUPOSTOS CONSTITUCIONAIS
165,APLVPREF,APROVADO PROJETO DE LEI DE CONVERSÃO PREFERÊNCIA SOBRE MEDID
163,APPDL,APROVADO O PARECER NA COMISSÃO - PELA APRESENTAÇÃO DE PDL
164,APPLVA,APROVADO PROJETO DE LEI DE CONVERSÃO COM ALTERAÇÕES
162,APPREJM,APROVADO PARECER NA COMISSÃO - PREJUDICIONALIDADE DA MEDID
146,APRCD(DT),APRECIADA EM DECISÃO TERMINATIVA PELAS COMISSÕES
160,APRMED,APROVADO O PARECER NA COMISSÃO - PELA REJEIÇÃO DA MEDIDA
173,APRPARAD,APROVADO PARECER DE ADMISSIBILIDADE
174,APRPARPR,APROVADO PARECER DE PRONÚNCIA
25,APRVD,APROVADA
96,APRVD(DT),APROVADA A MATÉRIA (DECISÃO TERMINATIVA)
89,APRVPAR,APROVADO PARECER NA COMISSÃO
161,APTPLV,APROVADO O PARECER NA COMISSÃO - NOS TERMOS DO PLV
28,ARQVD,ARQUIVADA AO FINAL DA LEGISLATURA
32,COMEXT,COMISSÃO TEMPORÁRIA EXTINTA
107,CONHECIDA,CONHECIDA.
109,DEFERD,DEFERIDA
149,DESARQLEG,DESARQUIVADA - RISF ART 332 § 1º
179,DEVOLVDJ,DEVOLVIDO EM ATENDIMENTO A DECISAO JUDICIAL
169,EPPDL,ENCERRADO O PRAZO PARA ELABORAÇÃO DO PDL NA COMISSÃO MISTA
170,EPPDLP,ENCERRADO O PRAZO PARA ELABORAÇÃO DO PDL POR PARLAMENTAR
153,EPREM,ENCERRADO O PRAZO PARA RECEBIMENTO DE EMENDAS
151,FIXA,FIXAÇÃO DE CALENDÁRIO
136,INADMITIDA,NÃO ADMISSÃO DOS PRESSUPOSTOS CONSTITUCIONAIS
78,INCLOD,INCLUÍDA EM ORDEM DO DIA
127,INCLOD(PAR,INCLUÍDO PARECER EM ORDEM DO DIA
114,INCLOD(RQ),INCLUÍDO REQUERIMENTO EM ORDEM DO DIA DA SESSÃO DELIBERATIVA
108,INDEFD,INDEFERIDA
105,INFNEG,INFORMAÇÕES NEGADAS
79,INFREC,INFORMAÇÕES RECEBIDAS
138,INPAUTA,INCLUÍDA NA PAUTA DA REUNIÃO
178,INSTALADA,COMISSÃO INSTALADA
147,LEITURA,MATÉRIA LIDA EM PLENÁRIO.
157,NAORFI,NÃO ATENDIMENDO DA ADEQUAÇÃO ORÇAMENTÁRIA E FINANCEIRA
155,NPCONST,NÃO ATENDIMENTO DOS PRESUPOSTOS CONSTITUCIONAIS
90,PEDVISTA,PEDIDO DE VISTA CONCEDIDO
152,PRFP,PRAZO FINAL PRORROGADO
43,PRJDA,PREJUDICADA
8,PRONDEPLEN,PRONTO PARA DELIBERAÇÃO DO PLENÁRIO
42,PRONTPAUT,PRONTA PARA A PAUTA NA COMISSÃO
91,RELATOR,MATÉRIA COM A RELATORIA
49,RJTDA,REJEITADA
97,RJTDA(DT),REJEITADA A MATÉRIA (DECISÃO TERMINATIVA)
52,RMCD,REMETIDA À CÂMARA DOS DEPUTADOS
55,RMPRO,REMETIDA À PROMULGAÇÃO
57,RMSAN,REMETIDA À SANÇÃO
59,RTCU,REMETIDA AO TRIBUNAL DE CONTAS DA UNIÃO
60,RTPA,RETIRADA PELO AUTOR
48,RVGA,REVOGADA
62,SBRTA,SOBRESTADA
63,SEFICA,SEM EFICÁCIA
172,SOBPAUTCN,SOBRESTANDO A PAUTA DO CONGRESSO NACIONAL
64,TNJR,TRANSFORMADA EM NORMA JURÍDICA
92,TNJRVETO,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL
101,TPDN,TRANSFORMADA EM PROJ. DE DEC. LEGISLATIVO DO CONGRESSO
66,TPDS,TRANSFORMADA EM PROJETO DECRETO LEGISLATIVO
150,TPEC,TRANSFORMADA EM PROPOSTA DE EMENDA CONSTITUCIONAL
171,TPLCONV,TRANSFORMADA EM PROJETO DE LEI DE CONVERSÃO
99,TPLN,TRANSFORMADA EM PROJETO DE LEI DO CONGRESSO
67,TPLS,TRANSFORMADA EM PROJETO DE LEI DO SENADO
68,TPLV,TRANSFORMADA EM PROJETO DE LEI DE CONVERSÃO
69,TPRCN,TRANSFORMADA EM PROJETO DE RESOLUÇÃO - CN
70,TPRS,TRANSFORMADA EM PROJETO DE RESOLUÇÃO DO SENADO
141,TRINTER,TRAMITAÇÃO INTERROMPIDA
103,VETODERR,VETO DERRUBADO
102,VETOMANT,VETO MANTIDO
77,VTDA,VETADA
